Time,TemperatureF
0,73.51
10,73.51
20,73.51
30,73.51
40,73.62
50,73.62
60,73.62
70,73.62
80,73.62
90,73.62
100,73.62
110,73.62
120,73.62
130,73.62
140,73.62
150,73.74
160,73.74
170,73.74
180,73.85
190,73.74
200,73.74
210,73.74
220,73.74
230,73.74
240,73.74
250,73.74
260,73.74
270,73.85
280,73.06
290,72.50
300,72.39
310,71.94
320,71.15
330,69.91
340,69.57
350,69.57
360,69.35
370,69.01
380,69.12
390,69.91
400,70.59
410,71.60
420,72.27
430,72.50
440,73.18
450,73.96
460,74.64
470,74.07
480,73.18
490,72.39
500,71.71
510,71.26
520,71.04
530,70.93
540,71.26
550,71.49
560,71.71
570,71.82
580,72.05
590,72.16
600,72.27
610,72.27
620,72.39
630,72.39
640,72.39
650,72.50
660,72.61
670,72.61
680,72.61
690,72.61
700,72.61
710,72.27
720,72.05
730,71.71
740,71.49
750,71.15
760,71.60
770,71.94
780,72.27
790,72.50
